ID,Title,Author,Fandom,Url,Kudos,Average_Sentiment
127,Eye of the Beholder,madartiste,Fairy Tail,https://archiveofourown.org/works/3234290,"6,341",0.0
128,Bite Me,Smoochynose,Fairy Tail,https://archiveofourown.org/works/4701374,"4,683",-0.4588
129,"Fight Me, Bite Me",Rhov,Fairy Tail,https://archiveofourown.org/works/911674,"4,323",-0.6369
130,Green Eyed Theory,madartiste,Fairy Tail,https://archiveofourown.org/works/2216004,"4,259",0.0
131,it's a timeless verity.,ririsu - riris (arurun),Fairy Tail,https://archiveofourown.org/works/22493011,"4,152",0.6705
132,A Dragon's Treasure,AngelFace273 (orphan_account),Fairy Tail,https://archiveofourown.org/works/977170,"4,030",0.9153
133,Celestial Witch,EvenescentTranquility,Fairy Tail,https://archiveofourown.org/works/25553200,"3,905",0.5423
134,Melodies Of DreamLand(Various x Reader),Amane8009,Fairy Tail,https://archiveofourown.org/works/19020061,"3,646",0.8402
135,to learn about a lucy (with a look into the future.),ruruCi  - nagi (arurun),Fairy Tail,https://archiveofourown.org/works/23556700,"3,209",-0.296
136,Marriage Law Rejection Letters,sakura_lisel,Fairy Tail,https://archiveofourown.org/works/15656337,"2,883",-0.7269
137,How NOT to Summon a Fell Dragon,Lexsssu,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/29532975,"3,677",0.7964
138,Timeless Academia,MadCrona,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/29718888,"3,584",0.9709
139,Fate/Harem Antics,kamenhero25,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/13531887,"3,009",0.9593
140,"For you, Master",orphan_account,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/12388848,"2,957",0.6295
141,Marriage Law Rejection Letters,sakura_lisel,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/15656337,"2,883",-0.7269
142,Shattered Chains of Fate,Lore55,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/23759821,"2,473",0.1531
143,Paint It White,Lexsssu,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/29122143,"2,330",0.5106
144,Fate Grand Order Imagines,itbeajen,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/15039971,"2,244",0.8641
145,Ultimate One: TYPE-Taylor,StargazingSeraph,Fate/stay night & Related Fandoms,https://archiveofourown.org/works/44945149,"1,939",-0.7506
146,Timeless Academia,MadCrona,Fate/Grand Order,https://archiveofourown.org/works/29718888,"3,584",0.9709
147,"For you, Master",orphan_account,Fate/Grand Order,https://archiveofourown.org/works/12388848,"2,957",0.6295
148,Marriage Law Rejection Letters,sakura_lisel,Fate/Grand Order,https://archiveofourown.org/works/15656337,"2,883",-0.7269
149,Book of NSFW Fate Stories,HimeBee,Fate/Grand Order,https://archiveofourown.org/works/19082833,"2,689",0.2732
150,Shattered Chains of Fate,Lore55,Fate/Grand Order,https://archiveofourown.org/works/23759821,"2,473",0.1531
151,Paint It White,Lexsssu,Fate/Grand Order,https://archiveofourown.org/works/29122143,"2,330",0.5106
152,Fate Grand Order Imagines,itbeajen,Fate/Grand Order,https://archiveofourown.org/works/15039971,"2,244",0.8641
153,Ultimate One: TYPE-Taylor,StargazingSeraph,Fate/Grand Order,https://archiveofourown.org/works/44945149,"1,939",-0.7506
154,Hereafter,James_D_Fawkes,Fate/Grand Order,https://archiveofourown.org/works/31753069,"1,867",0.1779
155,Heir to the Blacksmith,Plasma_Assassin,Fate/Grand Order,https://archiveofourown.org/works/31859845,"1,765",0.2023
156,i thee wed,sauntering_down,Free!,https://archiveofourown.org/works/960252,"7,568",0.9852
157,seen everything there is to be shown,sauntering_down,Free!,https://archiveofourown.org/works/919045,"6,671",0.4767
158,"Future Earth, Future Sky",Inky,Free!,https://archiveofourown.org/works/2367680,"5,454",0.4019
159,Miscellaneous,Thisisforthebest,Free!,https://archiveofourown.org/works/3736489,"5,429",0.5423
160,A Momentary Itch,meiface,Free!,https://archiveofourown.org/works/935437,"4,963",-0.3818
161,but loving him was red,sauntering_down,Free!,https://archiveofourown.org/works/906081,"4,844",-0.9831
162,Catch A Falling Star,hoshruba,Free!,https://archiveofourown.org/works/1856572,"4,840",0.7351
163,This part of us will never change,ghostly,Free!,https://archiveofourown.org/works/2225658,"4,785",0.5009
164,Dead Reckoning,furiosity,Free!,https://archiveofourown.org/works/899345,"4,673",0.4243
165,Male Characters x Top!Male!Reader |One Shots|,MackJLee9,Free!,https://archiveofourown.org/works/29164848,"3,961",0.0
166,snipers solve 99% of all problems,silentwalrus,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/20644262,"19,280",-0.736
167,Satellite,SpicyReyes,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/16659134,"17,280",0.5994
168,An Interesting Trip,ShanaStoryteller,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/3727768,"16,475",0.4767
169,"he's a killer queen, sunflower, guillotine",hoye,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/22365040,"14,437",-0.0772
170,a terrifying clamour of trumpets,ShanaStoryteller,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/7011241,"13,568",-0.4588
171,we haunt ourselves,sekalaista,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/2506151,"13,369",0.4404
172,build your wings on the way down,ShanaStoryteller,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/4011292,"11,741",-0.5504
173,The Colours of the World,MaiKusakabe,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/6870892,"10,877",0.8658
174,Son of the Desert,ShanaStoryteller,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/4120198,"10,035",-0.4588
175,Know the Difference,ShanaStoryteller,Fullmetal Alchemist - All Media Types,https://archiveofourown.org/works/9645587,"9,757",0.3947
176,Satellite,SpicyReyes,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/16659134,"17,280",0.5994
177,we haunt ourselves,sekalaista,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/2506151,"13,369",0.4404
178,build your wings on the way down,ShanaStoryteller,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/4011292,"11,741",-0.5504
179,The Colours of the World,MaiKusakabe,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/6870892,"10,877",0.8658
180,Son of the Desert,ShanaStoryteller,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/4120198,"10,035",-0.4588
181,Know the Difference,ShanaStoryteller,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/9645587,"9,757",0.3947
182,"Trust Me, I'm an Alchemist",metisket,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/23818510,"9,558",-0.6478
183,Cause for Concern,metisket,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/584736,"9,195",0.6249
184,The Universe Just Doesn't Know What the Hell to Make of Edward Elric,queerstang (rosethomass),Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/1643576,"8,273",0.3818
185,Sins of the Father,ShanaStoryteller,Fullmetal Alchemist: Brotherhood & Manga,https://archiveofourown.org/works/4775495,"8,110",0.0
186,I Reincarnated As A Minor Villainess and I Survived Past My Death Scene,Thai_Tea_Addict,Gundam & Related Fandoms,https://archiveofourown.org/works/24470677,"3,467",-0.886
187,Merchant of Death,Reirani,Gundam & Related Fandoms,https://archiveofourown.org/works/15932918,"1,507",0.1779
188,Wolves and Lambs,Thai_Tea_Addict,Gundam & Related Fandoms,https://archiveofourown.org/works/13351587,"1,340",-0.8674
189,Upon a Fiery Steed,Vathara,Gundam & Related Fandoms,https://archiveofourown.org/works/11249466,"1,163",-0.4019
190,Because Kafka,arsenicarcher (Arsenic),Gundam & Related Fandoms,https://archiveofourown.org/works/5164571,"1,152",0.4939
191,Stand Without Flinching,AngelSelene,Gundam & Related Fandoms,https://archiveofourown.org/works/22763293,945,0.1184
192,The Stars Guide Me To You (Again and Again),Wesakechak,Gundam & Related Fandoms,https://archiveofourown.org/works/42960189,771,-0.1935
193,Turn the stone and look beneath it,slowHistorian,Gundam & Related Fandoms,https://archiveofourown.org/works/17263481,771,-0.9289
194,Lone Wolf and Pilot,Asuka Kureru (Askerian),Gundam & Related Fandoms,https://archiveofourown.org/works/339134,754,-0.9011
195,Legal Partners,Miggy,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/1020833,"10,502",-0.1664
196,Hot for Justice,indirectkissesiniceland,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/1089676,"9,870",0.8395
197,Keep Your Promises,MaudMoon (Idle_Wanderings),逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/4252164,"9,765",0.6369
198,Consequences,tastewithouttalent,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/2784014,"8,516",0.0
199,How to Court A Fool in Under Three Months,snowyrunes,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/8570962,"7,630",-0.7798
200,"34 years old - 5'8"" - DL - no-BB",withpractice,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/1137268,"7,384",0.0
201,Turnabout Coming Out,pantswarrior,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/20518,"7,176",0.6597
202,How to Make a Newsie's Day,tamerofdarkstars,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/13387389,"7,123",0.8668
203,You Can't Kill a Phoenix,desidelite,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/4747496,"6,235",-0.6908
204,The Wedding Planner,famousinthatanonymousway,逆転裁判 | Gyakuten Saiban | Ace Attorney,https://archiveofourown.org/works/5434238,"6,190",0.5106
205,In Another Life,LittleLuxray,Haikyuu!!,https://archiveofourown.org/works/5096105,"77,235",0.09
206,In Transit,Mysecretfanmoments,Haikyuu!!,https://archiveofourown.org/works/3346724,"38,580",0.4215
207,"to be first, to be best",kittebasu,Haikyuu!!,https://archiveofourown.org/works/2547755,"29,594",0.4173
